ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
1,20000,1,2,1,25,0,1,0,0,1,0,14591,16128,18936,17265,16028,13945,4704,3162,6534,1126,3091,3240,1
2,300000,1,3,2,43,-1,-1,-1,-1,-1,-1,70336,68669,63788,59354,60835,59024,3095,6004,19047,16019,18013,19506,0
3,200000,1,2,2,51,0,0,-1,-1,0,0,40572,37708,29702,32571,40525,36533,8609,1847,4589,8496,7651,2337,0
4,120000,2,2,2,23,-1,-1,-1,0,-1,-1,84476,99853,77835,82065,74591,86782,29051,26151,24054,21899,15932,9878,0
5,120000,2,4,2,39,-1,-1,-1,-1,-1,-1,65041,62198,52236,49097,47933,67704,21281,9128,8521,2014,3822,20699,0
6,500000,1,2,1,33,0,0,0,0,0,-1,446372,360586,372121,328760,393507,328450,86297,97136,21437,67267,112819,61378,1
7,20000,1,3,1,22,1,-1,0,0,-1,0,7353,5781,5396,5719,5478,7260,1798,1047,1083,568,836,1168,1
8,200000,2,3,1,58,2,1,0,2,1,2,48283,58593,56454,49722,53470,42515,10593,16829,18189,9129,11299,7489,0
9,50000,1,1,2,41,1,1,0,1,1,1,24037,29214,26111,30506,27004,25221,2092,7714,7282,10570,8079,1346,0
10,20000,2,2,1,56,1,0,1,1,1,1,2622,3409,3468,3383,3523,3129,617,927,529,168,627,289,1
11,120000,2,2,3,48,1,1,1,2,1,0,41387,38931,44536,38877,41169,43009,5377,6294,13454,8398,4552,14514,1
12,500000,1,4,1,62,0,0,0,-1,0,0,116682,119175,95028,86230,100686,98375,15347,40184,16456,6419,10832,22855,0
13,300000,1,2,1,67,-1,0,-1,0,-1,-1,103724,121106,125389,102648,120102,96824,16450,18618,30834,19330,24847,11083,0
14,300000,1,1,1,49,0,0,0,-1,0,0,192909,211811,205239,249842,196773,224952,58107,59675,26667,47943,22844,74797,0
15,300000,2,2,1,37,-1,0,0,-1,-1,-1,39671,55374,50819,52657,49546,40202,3913,10053,4281,8980,6526,6077,0
16,300000,1,1,2,40,-1,0,-1,-1,0,0,197287,174620,227092,176478,197783,215481,20273,17039,28033,40779,19281,14326,0
17,120000,1,3,2,59,0,-1,-1,0,-1,-1,84979,71072,81769,85265,65395,84879,1905,16171,25250,29116,10938,28736,0
